Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
cielo-queen-murphy-wall-bed-and-2-storage-cabinets-with-drawers-124w,Cielo Queen Murphy Wall Bed and 2 Storage Cabinets with Drawers (124W) - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80885-000009,,,0
cielo-queen-murphy-wall-bed-with-2-storage-cabinets-124w,Cielo Queen Murphy Wall Bed with 2 Storage Cabinets (124W) - Available in 2 Colours,Colour,Bark Grey & White,,,,,80884-47,,,0
cielo-queen-murphy-wall-bed-with-2-storage-cabinets-124w,Cielo Queen Murphy Wall Bed with 2 Storage Cabinets (124W) - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80884-000009,,,0
cielo-queen-murphy-wall-bed-and-2-storage-cabinets-with-drawers-104w,Cielo Queen Murphy Wall Bed and 2 Storage Cabinets with Drawers (104W) - Available in 2 Colours,Colour,Bark Grey & White,,,,,80883-47,,,0
cielo-queen-murphy-wall-bed-and-2-storage-cabinets-with-drawers-104w,Cielo Queen Murphy Wall Bed and 2 Storage Cabinets with Drawers (104W) - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80883-000009,,,0
cielo-queen-murphy-wall-bed-and-storage-cabinet-95w,Cielo Queen Murphy Wall Bed and Storage Cabinet (95W) - Available in 2 Colours,Colour,Bark Grey & White,,,,,80882-47,,,0
cielo-queen-murphy-wall-bed-and-storage-cabinet-95w,Cielo Queen Murphy Wall Bed and Storage Cabinet (95W) - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80882-000009,,,0
cielo-queen-murphy-wall-bed-with-storage-104w,Cielo Queen Murphy Wall Bed with Storage (104W) - Available in 2 Colours,Colour,Bark Grey & White,,,,,80881-47,,,0
cielo-queen-murphy-wall-bed-with-storage-104w,Cielo Queen Murphy Wall Bed with Storage (104W) - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80881-000009,,,0
cielo-queen-murphy-bed-and-2-storage-units-with-doors-104w-bark-grey-white,Cielo Queen Murphy Wall Bed and 2 Storage Units with Doors (104W)  - Bark Grey & White,Colour,Bark Grey & White,,,,,80880-47,,,0
cielo-29-5-closet-organizer-with-storage-cubbies-and-drawers-bark-grey-white,Cielo 29.5” Closet Organizer with Storage Cubbies and Drawers - Bark Grey & White,Colour,Bark Grey & White,,,,,80863-47,,,0
cielo-19-5-closet-organizer-with-drawers-and-storage-cubbies-bark-grey-white,Cielo 19.5” Closet Organizer with Drawers and Storage Cubbies - Bark Grey & White,Colour,Bark Grey & White,,,,,80862-47,,,0
cielo-29-5-closet-organizer-with-drawers-bark-grey-white,Cielo 29.5” Closet Organizer with Drawers - Bark Grey & White,Colour,Bark Grey & White,,,,,80861-47,,,0
cielo-19-5-closet-organizer-with-drawers-bark-grey-white,Cielo 19.5” Closet Organizer with Drawers - Bark Grey & White,Colour,Bark Grey & White,,,,,80860-47,,,56
cielo-walk-in-closet-organizer-with-8-floating-shelves-bark-grey-white,Cielo Walk-In Closet Organizer with 8 Floating Shelves - Bark Grey & White,Colour,Bark Grey & White,,,,,80859-47,,,0
cielo-walk-in-closet-organizer-with-4-floating-shelves-bark-grey-white,Cielo Walk-In Closet Organizer with 4 Floating Shelves - Bark Grey & White,Colour,Bark Grey & White,,,,,80858-47,,,0
cielo-39-closet-organizer-bark-grey-white,Cielo 39” Closet Organizer - Bark Grey & White,Colour,Bark Grey & White,,,,,80855-47,,,0
cielo-59-closet-organizer-with-4-drawers-bark-grey-white,Cielo 59” Closet Organizer with 4 Drawers - Bark Grey & White,Colour,Bark Grey & White,,,,,80854-47,,,0
cielo-59-closet-organizer-bark-grey-white,Cielo 59” Closet Organizer - Bark Grey & White,Colour,Bark Grey & White,,,,,80853-47,,,0
cielo-39-closet-organizer-with-drawers-bark-grey-white,Cielo 39” Closet Organizer with Drawers - Bark Grey & White,Colour,Bark Grey & White,,,,,80852-47,,,56
cielo-39-closet-organizer-with-storage-cubbies-bark-grey-white,Cielo 39” Closet Organizer with Storage Cubbies - Bark Grey & White,Colour,Bark Grey & White,,,,,80851-47,,,0
cielo-39-closet-organizer-with-1-low-storage-unit-bark-grey-white,Cielo 39” Closet Organizer with 1 Low Storage Unit - Bark Grey & White,Colour,Bark Grey & White,,,,,80850-47,,,56
cielo-storage-unit-with-sliding-door-bark-grey-white,Cielo Storage Unit with Sliding Door - Bark Grey & White,Colour,Bark Grey & White,,,,,80174-47,,,0
cielo-4-door-set-for-29-5-closet-organizer-bark-grey,Cielo 4-Door Set for 29.5“ Closet Organizer - Bark Grey,Colour,Bark Grey,,,,,80173-1147,,,0
cielo-2-door-set-for-19-5-closet-organizer-bark-grey,Cielo 2-Door Set for 19.5“ Closet Organizer - Bark Grey,Colour,Bark Grey,,,,,80172-1147,,,29
cielo-2-door-set-for-19-5-low-storage-unit,Cielo 2-Door Set for 19.5“ Low Storage Unit - Available in 2 Colours,Colour,Bark Grey,,,,,80171-1147,,,0
cielo-2-door-set-for-19-5-low-storage-unit,Cielo 2-Door Set for 19.5“ Low Storage Unit - Available in 2 Colours,Colour,Rustic Brown,,,,,80171-000009,,,0
cielo-19-5-low-storage-unit,Cielo 19.5“ Low Storage Unit - Available in 2 Colours,Colour,Bark Grey & White,,,,,80169-1147,,,144
cielo-19-5-low-storage-unit,Cielo 19.5“ Low Storage Unit - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80169-000009,,,0
cielo-19-5-floating-shelves,Cielo 19.5“ Floating Shelves - Available in 2 Colours,Colour,Bark Grey & White,,,,,80168-1147,,,32
cielo-19-5-floating-shelves,Cielo 19.5“ Floating Shelves - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80168-000009,,,0
cielo-19-5-closet-organizer,Cielo 19.5” Closet Organizer - Available in 2 Colours,Colour,Bark Grey & White,,,,,80167-47,,,56
cielo-19-5-closet-organizer,Cielo 19.5” Closet Organizer - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80167-000009,,,0
cielo-29-5-closet-organizer,Cielo 29.5” Closet Organizer - Available in 2 Colours,Colour,Bark Grey & White,,,,,80166-47,,,0
cielo-29-5-closet-organizer,Cielo 29.5” Closet Organizer - Available in 2 Colours,Colour,Rustic Brown & White,,,,,80166-000009,,,0
cielo-31-corner-storage-unit-bark-grey-white,Cielo 31” Corner Storage Unit - Bark Grey & White,Colour,Bark Grey & White,,,,,80165-47,,,13
cielo-2-drawer-set-for-cielo-19-5-closet-organizer,Cielo 2-Drawer Set for Cielo 19.5” Closet Organizer - Available in 2 Colours,Colour,Bark Grey,,,,,80163-2147,,,120
cielo-2-drawer-set-for-cielo-19-5-closet-organizer,Cielo 2-Drawer Set for Cielo 19.5” Closet Organizer - Available in 2 Colours,Colour,Rustic Brown,,,,,80163-000009,,,0
cielo-19-5-closet-organizer-with-storage-cubbies-bark-grey-white,Cielo 19.5” Closet Organizer with Storage Cubbies - Bark Grey & White,Colour,Bark Grey & White,,,,,80162-1147,,,0
cielo-2-drawer-set-for-cielo-29-5-closet-organizer-rustic-brown,Cielo 2-Drawer Set for Cielo 29.5” Closet Organizer - Rustic Brown,Colour,Rustic Brown,,,,,80161-000009,,,50
cielo-29-5-closet-organizer-with-storage-cubbies-bark-grey-white,Cielo 29.5” Closet Organizer with Storage Cubbies - Bark Grey & White,Colour,Bark Grey & White,,,,,80160-1147,,,29
edge-full-murphy-wall-bed-with-mattress-and-storage-unit-81w-white,Edge Full Murphy Wall Bed with Mattress and Storage Unit (81W) - White,Colour,White,,,,,70899-17,,,-50
edge-full-murphy-wall-bed-with-storage-unit-81w-white,Edge Full Murphy Wall Bed with Storage Unit (81W) - White,Colour,White,,,,,70898-17,,,0
edge-full-murphy-wall-bed-and-storage-unit-with-drawers-85w-white,Edge Full Murphy Wall Bed and Storage Unit with Drawers (85W) - White,Colour,White,,,,,70894-17,,,9
edge-full-murphy-wall-bed-with-2-storage-units-102w-white,Edge Full Murphy Wall Bed with 2 Storage Units (102W) - White,Colour,White,,,,,70893-17,,,0
edge-full-murphy-wall-bed-with-mattress-and-2-storage-units-102w-white,Edge Full Murphy Wall Bed with Mattress and 2 Storage Units (102W) - White,Colour,White,,,,,70891-17,,,-50
edge-queen-murphy-wall-bed-with-mattress-and-1-storage-unit-86w-white,Edge Queen Murphy Wall Bed with Mattress and 1 Storage Unit (86W) - White,Colour,White,,,,,70889-17,,,-50
edge-queen-murphy-wall-bed-and-1-storage-unit-86,Edge Queen Murphy Wall Bed and 1 Storage Unit (86”) - Available in 2 Colours,Colour,White,,,,,70888-17,,,0
edge-queen-murphy-wall-bed-and-1-storage-unit-86,Edge Queen Murphy Wall Bed and 1 Storage Unit (86”) - Available in 2 Colours,Colour,Walnut Grey,,,,,70888-000035,,,0
edge-queen-murphy-wall-bed-with-mattress-and-2-storage-units-107w-white,Edge Queen Murphy Wall Bed with Mattress and 2 Storage Units (107W) - White,Colour,White,,,,,70887-17,,,-50
edge-65w-queen-murphy-wall-bed-with-mattress-white,Edge 65W Queen Murphy Wall Bed with Mattress - White,Colour,White,,,,,70885-17,,,-50
edge-queen-murphy-wall-bed-and-storage-unit-with-drawers-90w-white,Edge Queen Murphy Wall Bed and Storage Unit with Drawers (90W) - White,Colour,White,,,,,70884-17,,,9
edge-queen-murphy-wall-bed-with-2-storage-units-107w,Edge Queen Murphy Wall Bed with 2 Storage Units (107W) - Available in 2 Colours,Colour,White,,,,,70883-17,,,0
edge-queen-murphy-wall-bed-with-2-storage-units-107w,Edge Queen Murphy Wall Bed with 2 Storage Units (107W) - Available in 2 Colours,Colour,Walnut Grey,,,,,70883-000035,,,0
edge-60w-full-murphy-wall-bed-with-mattress-white,Edge 60W Full Murphy Wall Bed with Mattress  - White,Colour,White,,,,,70881-17,,,-50
edge-65w-queen-murphy-wall-bed,Edge 65W Queen Murphy Wall Bed - Available in 2 Colours,Colour,White,,,,,70184-17,,,34
edge-65w-queen-murphy-wall-bed,Edge 65W Queen Murphy Wall Bed - Available in 2 Colours,Colour,Walnut Grey,,,,,70184-000035,,,18
edge-60w-full-murphy-bed-white,Edge 60W Full Murphy Wall Bed - White,Colour,White,,,,,70183-17,,,18
edge-wardrobe-with-2-drawers-white,Edge Wardrobe with 2 Drawers - White,Colour,White,,,,,70164-17,,,9
hampton-l-shaped-corner-gaming-desk,Hampton L-Shaped Corner Gaming Desk - Available in 2 Colours,Colour,Graphite,,,,,69431-000033,,,-50
hampton-l-shaped-corner-gaming-desk,Hampton L-Shaped Corner Gaming Desk - Available in 2 Colours,Colour,White,,,,,69431-000017,,,-50
hampton-71w-corner-desk,Hampton 71W Corner Desk - Available in 2 Colours,Colour,Black & White,,,,,69430-000018,,,0
hampton-71w-corner-desk,Hampton 71W Corner Desk - Available in 2 Colours,Colour,White,,,,,69430-000017,,,0
universel-4-piece-set-including-four-30-60-table-desks-with-square-metal-legs,Universel 4-Piece Set Including Four 30″ × 60″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,Silver Grey,,,,,65901-000042,,,22
universel-4-piece-set-including-four-30-60-table-desks-with-square-metal-legs,Universel 4-Piece Set Including Four 30″ × 60″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,Black,,,,,65901-000018,,,0
universel-4-piece-set-including-four-30-60-table-desks-with-square-metal-legs,Universel 4-Piece Set Including Four 30″ × 60″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,White,,,,,65901-000017,,,0
universel-4-piece-set-including-four-24-48-table-desks-with-square-metal-legs,Universel 4-Piece Set Including 4 24″ × 48″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,Silver Grey,,,,,65900-000042,,,53
universel-4-piece-set-including-four-24-48-table-desks-with-square-metal-legs,Universel 4-Piece Set Including 4 24″ × 48″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,Black,,,,,65900-000018,,,0
universel-4-piece-set-including-four-24-48-table-desks-with-square-metal-legs,Universel 4-Piece Set Including 4 24″ × 48″ Table Desks with Square Metal Legs - Available in 3 Colours,Colour,White,,,,,65900-000017,,,0
universel-2-piece-set-including-30-x-60-table-desk-and-mobile-pedestal-bark-grey,Universel 2-Piece Set Including 30“ x 60“ Table Desk and Mobile Pedestal - Bark Grey,Colour,Bark Grey,,,,,65895-47,,,0
universel-2-piece-set-including-30-x-60-table-desk-and-an-assembled-mobile-pedestal-black,Universel 2-Piece Set Including 30“ x 60“ Table Desk and an Assembled Mobile Pedestal - Black,Colour,Black,,,,,65894-18,,,0
universel-2-piece-set-including-24-x-48-table-desk-and-mobile-pedestal-bark-grey,Universel 2-Piece Set Including 24“ x 48“ Table Desk and Mobile Pedestal - Bark Grey,Colour,Bark Grey,,,,,65885-47,,,0
universel-2-piece-set-including-24-x-48-table-desk-and-an-assembled-mobile-pedestal-black,Universel 2-Piece Set Including 24“ x 48“ Table Desk and an Assembled Mobile Pedestal - Black,Colour,Black,,,,,65884-18,,,0
universel-2-piece-set-including-30-x-60-standing-desk-and-an-assembled-mobile-pedestal-black,Universel 2-Piece Set Including 30“ x 60“ Standing Desk and an Assembled Mobile Pedestal - Black,Colour,Black,,,,,65873-18,,,0
universel-2-piece-set-including-30-x-60-standing-desk-and-a-mobile-pedestal-bark-grey,Universel 2-Piece Set Including 30“ x 60“ Standing Desk and a Mobile Pedestal - Bark Grey,Colour,Bark Grey,,,,,65872-47,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Silver Grey,,,,,65855-000042,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Bordeaux,,,,,65862-39,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Slate,,,,,65857-59,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Bordeaux,,,,,65857-39,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Antigua,,,,,65862-52,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Bark Grey,,,,,65862-47,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Northern Maple,,,,,65862-38,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Deep Grey,,,,,65862-32,,,0
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,Black,,,,,65862-18,,,109
universel-30-x-60-table-desk-with-round-metal-legs,Universel 30“ x 60“ Table Desk with Round Metal Legs - Available in 7 Colours,Colour,White,,,,,65862-17,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Dark Chocolate,,,,,65857-79,,,23
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Chocolate,,,,,65857-69,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Antigua,,,,,65857-52,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Bark Grey,,,,,65857-47,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Northern Maple,,,,,65857-38,,,0
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Deep Grey,,,,,65857-32,,,12
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,Black,,,,,65857-18,,,6
universel-24-x-48-standing-desk,Universel 24“ x 48“ Standing Desk - Available in 10 Colours,Colour,White,,,,,65857-17,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Chocolate,,,,,65852-69,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Antigua,,,,,65852-52,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Bark Grey,,,,,65852-47,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Bordeaux,,,,,65852-39,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Northern Maple,,,,,65852-38,,,0
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Deep Grey,,,,,65852-32,,,12
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,White Chocolate,,,,,65852-31,,,8
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,Black,,,,,65852-18,,,6
universel-24-x-48-table-desk-with-round-metal-legs,Universel 24“ x 48“ Table Desk with Round Metal Legs - Available in 9 Colours,Colour,White,,,,,65852-17,,,0
universel-2-piece-set-including-12-x-72-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 72“ High Quality Floating Shelves - Available in 3 Colours,Colour,HDF,,,,,65849-1199,,,0
universel-2-piece-set-including-12-x-72-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 72“ High Quality Floating Shelves - Available in 3 Colours,Colour,Natural Yellow Birch,,,,,65849-1120,,,0
universel-2-piece-set-including-12-x-72-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 72“ High Quality Floating Shelves - Available in 3 Colours,Colour,White,,,,,65849-1117,,,0
innova-l-shaped-desk-with-pedestal-and-hutch,Innova L-Shaped Desk with Pedestal and Hutch,Colour,Antigua,,,,,92421-000052,,,0
universel-2-piece-set-including-12-x-48-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 48“ High Quality Floating Shelves - Available in 3 Colours,Colour,HDF,,,,,65848-1199,,,0
universel-2-piece-set-including-12-x-48-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 48“ High Quality Floating Shelves - Available in 3 Colours,Colour,Natural Yellow Birch,,,,,65848-1120,,,0
universel-2-piece-set-including-12-x-48-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 48“ High Quality Floating Shelves - Available in 3 Colours,Colour,White,,,,,65848-1117,,,0
universel-2-piece-set-including-12-x-24-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 24“ High Quality Floating Shelves - Available in 3 Colours,Colour,HDF,,,,,65847-1199,,,0
universel-2-piece-set-including-12-x-24-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 24“ High Quality Floating Shelves - Available in 3 Colours,Colour,Natural Yellow Birch,,,,,65847-1120,,,0
universel-2-piece-set-including-12-x-24-high-quality-floating-shelves,Universel 2-Piece Set Including 12“ x 24“ High Quality Floating Shelves - Available in 3 Colours,Colour,White,,,,,65847-1117,,,0
universel-2-piece-set-including-24-x-48-standing-desk-and-an-assembled-mobile-pedestal-black,Universel 2-Piece Set Including 24“ x 48“ Standing Desk and an Assembled Mobile Pedestal - Black,Colour,Black,,,,,65843-18,,,0
universel-2-piece-set-including-a-24-x-48-standing-desk-and-a-mobile-pedestal-bark-grey,Universel 2-Piece Set Including a 24“ x 48“ Standing Desk and a Mobile Pedestal - Bark Grey,Colour,Bark Grey,,,,,65842-47,,,0
universel-30-x-60-standing-desk-bark-grey,Universel 30“ x 60“ Standing Desk - Bark Grey,Colour,Bark Grey,,,,,65839-47,,,0
universel-30-x-60-electric-standing-desk-white,Universel 30“ x 60“ Electric Standing Desk - White,Colour,White,,,,,65838-17,,,0
universel-24-x-48-electric-standing-desk-white,Universel 24“ x 48“ Electric Standing Desk - White,Colour,White,,,,,65836-17,,,0
universel-95-5-conference-table,Universel 95.5“ Conference Table - Available in 2 Colours,Colour,Bark Grey,,,,,65776-47,,,0
universel-95-5-conference-table,Universel 95.5“ Conference Table - Available in 2 Colours,Colour,White,,,,,65776-17,,,0
universel-mobile-desk-pedestal-with-2-drawers-bark-grey,Universel Mobile Desk Pedestal with 2 Drawers - Bark Grey,Colour,Bark Grey,,,,,65643-1147,,,0
universel-assembled-mobile-desk-pedestal-with-3-drawers-black,Universel Assembled Mobile Desk Pedestal with 3 Drawers - Black,Colour,Black,,,,,65642-1118,,,-50
logan-lateral-file-cabinet-with-dual-power-usb-module-antigua,Logan Lateral File Cabinet with Dual Power/USB Module - Antigua,Colour,Antigua,,,,,65636-1152,,,0
embassy-corner-desk-with-pedestal-dark-chocolate,Embassy Corner Desk with Pedestal - Dark Chocolate,Colour,Dark Chocolate,,,,,60899-79,,,0
universel-standing-desk-available-in-bark-grey,"Universel 30"" x 60"" Height Adjusting Standing Desk - Available Bark Grey",Colour,White Chocolate,,,,,65837-31,,,1
pur-36-closet-organizer-storage-unit-in-bark-gray,"Pur 36"" Closet Organizer Storage Unit - Available in 4 Colours",Colour,Chocolate,,,,,26160-69,,,1
pur-36-closet-organizer-storage-unit-in-bark-gray,"Pur 36"" Closet Organizer Storage Unit - Available in 4 Colours",Colour,White,,,,,26160-17,,,1
pur-36-closet-organizer-storage-unit-in-bark-gray,"Pur 36"" Closet Organizer Storage Unit - Available in 4 Colours",Colour,Bark Grey,,,,,26160-47,,,0
nebula-115-set-including-a-queen-wall-bed-and-two-storage-units-with-drawers-bark-grey-white,"Nebula 115"" Set including a Queen Wall Murphy Bed and Two Storage Units with Drawers - Available in 4 Colours",Colour,Antigua,,,,,25884-52,,,0
nebula-115-set-including-a-queen-wall-bed-and-two-storage-units-with-drawers-bark-grey-white,"Nebula 115"" Set including a Queen Wall Murphy Bed and Two Storage Units with Drawers - Available in 4 Colours",Colour,Bark Grey,,,,,25884-47,,,0
nebula-115-set-including-a-queen-wall-bed-and-two-storage-units-with-drawers-bark-grey-white,"Nebula 115"" Set including a Queen Wall Murphy Bed and Two Storage Units with Drawers - Available in 4 Colours",Colour,White,,,,,25884-17,,,0
nebula-115-set-including-a-queen-wall-bed-and-two-storage-units-with-drawers-bark-grey-white,"Nebula 115"" Set including a Queen Wall Murphy Bed and Two Storage Units with Drawers - Available in 4 Colours",Colour,Bark Grey & White,,,,,25884-4717,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-with-drawers-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit with Drawers - Available in 4 Colours",Colour,Antigua,,,,,25882-52,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-with-drawers-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit with Drawers - Available in 4 Colours",Colour,Bark Grey,,,,,25882-47,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-with-drawers-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit with Drawers - Available in 4 Colours",Colour,White,,,,,25882-17,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-with-drawers-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit with Drawers - Available in 4 Colours",Colour,Bark Grey & White,,,,,25882-4717,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit - Available in 4 Colours",Colour,Antigua,,,,,25880-52,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit - Available in 4 Colours",Colour,Bark Grey,,,,,25880-47,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit - Available in 4 Colours",Colour,White,,,,,25880-17,,,0
nebula-90-set-including-a-queen-wall-bed-and-one-storage-unit-bark-grey-white,"Nebula 90"" Set including a Queen Wall Murphy Bed and One Storage Unit - Available in 4 Colours",Colour,Bark Grey & White,,,,,25880-4717,,,0
nebula-3-drawer-set-for-25-storage-unit-in-antigua,"Nebula 3 Drawer Set for 25"" Storage Unit - Available in 3 Colours",Colour,Bark Grey,,,,,25163-1147,,,1
nebula-25-storage-unit-in-bark-grey-and-white,"Nebula 25"" Storage Unit - Available in 4 Colours",Colour,Antigua,,,,,25162-52,,,0
nebula-25-storage-unit-in-bark-grey-and-white,"Nebula 25"" Storage Unit - Available in 4 Colours",Colour,Bark Grey,,,,,25162-47,,,1
nebula-25-storage-unit-in-bark-grey-and-white,"Nebula 25"" Storage Unit - Available in 4 Colours",Colour,White,,,,,25162-17,,,0
nebula-25-storage-unit-in-bark-grey-and-white,"Nebula 25"" Storage Unit - Available in 4 Colours",Colour,Bark Grey & White,,,,,25162-4717,,,0
i3-plus-u-shaped-desk-with-frosted-glass-doors-hutch-bark-grey,i3 Plus U-shaped Desk with Frosted Glass Doors Hutch - Available in 3 Colours,Colour,Bark Grey & White,,,,,160861-4717,,,0
i3-plus-u-shaped-desk-with-frosted-glass-doors-hutch-bark-grey,i3 Plus U-shaped Desk with Frosted Glass Doors Hutch - Available in 3 Colours,Colour,White Chocolate,,,,,160861-000031,,,0
i3-plus-u-shaped-desk-with-frosted-glass-doors-hutch-bark-grey,i3 Plus U-shaped Desk with Frosted Glass Doors Hutch - Available in 3 Colours,Colour,Bark Grey,,,,,160861-47,,,0
embassy-l-shaped-desk-with-pedestal,Embassy L-Shaped Desk with Pedestal - Available in 2 Colours,Colour,Walnut Grey,,,,,60892-000035,,,0
embassy-l-shaped-desk-with-hutch-and-2-pedestals,Embassy L-Shaped Desk with Hutch and 2 Pedestals - Available in 2 Colours,Colour,Dark Chocolate,,,,,60893-79,,,0
embassy-l-shaped-desk-with-hutch-and-2-pedestals,Embassy L-Shaped Desk with Hutch and 2 Pedestals - Available in 2 Colours,Colour,Walnut Grey,,,,,60893-000035,,,0
embassy-2-piece-set-including-a-standing-desk-and-a-desk-with-hutch-dark-chocolate,Embassy 2-Piece Set including a Standing Desk and a Desk with Hutch - Dark Chocolate,Colour,Dark Chocolate,,,,,60886-79,,,0
embassy-2-piece-set-including-a-standing-desk-and-a-pedestal-desk-dark-chocolate,Embassy 2-Piece Set Including a Standing Desk and a Pedestal Desk - Dark Chocolate,Colour,Dark Chocolate,,,,,60885-79,,,0
embassy-u-shaped-executive-desk-with-pedestal-and-hutch,Embassy U-Shaped Executive Desk with Pedestal and Hutch - Available in 2 Colours,Colour,Dark Chocolate,,,,,60897-79,,,0
embassy-u-shaped-executive-desk-with-pedestal-and-hutch,Embassy U-Shaped Executive Desk with Pedestal and Hutch - Available in 2 Colours,Colour,Walnut Grey,,,,,60897-000035,,,0
embassy-l-shaped-desk-with-two-pedestals-and-hutch,Embassy L-Shaped Desk with 2 Pedestals and Hutch - Available in 2 Colours,Colour,Dark Chocolate,,,,,60853-79,,,0
embassy-l-shaped-desk-with-two-pedestals-and-hutch,Embassy L-Shaped Desk with 2 Pedestals and Hutch - Available in 2 Colours,Colour,Walnut Grey,,,,,60853-000035,,,0
embassy-executive-desk-with-two-pedestals-dark-chocolate,Embassy Executive Desk with Two Pedestals - Dark Chocolate,Colour,Dark Chocolate,,,,,60890-79,,,0
